Code,Area,Year,Measure,Value mar,Value Jun,Value Sep,Value Dec,Housing_Average
E02000176,Camden 011,2017,Mean,1269109,1273163,1343815,1256117,1285551
E02000177,Camden 012,2017,Mean,825501,915164,1012372,1066592,954907.25
E02000178,Camden 013,2017,Mean,648893,644331,645834,607480,636634.5
E02000179,Camden 014,2017,Mean,1094981,1125717,1150647,1143549,1128723.5
E02000180,Camden 015,2017,Mean,683399,798172,852801,759817,773547.25
E02000181,Camden 016,2017,Mean,865135,898512,857107,909663,882604.25
E02000182,Camden 017,2017,Mean,1208962,1355421,1321578,1292376,1294584.25
E02000183,Camden 018,2017,Mean,1655193,1741464,1718116,1751336,1716527.25
E02000184,Camden 019,2017,Mean,680626,699547,675068,631269,671627.5
E02000185,Camden 020,2017,Mean,509493,620068,723860,687372,635198.25
E02000186,Camden 021,2017,Mean,957946,962888,1194755,1476799,1148097
E02000187,Camden 022,2017,Mean,1128587,1113486,1111006,1048636,1100428.75
E02000188,Camden 023,2017,Mean,601639,644105,582250,562844,597709.5
E02000189,Camden 024,2017,Mean,583400,707223,833462,1039230,790828.75
E02000190,Camden 025,2017,Mean,627729,686690,676908,668828,665038.75
E02000191,Camden 026,2017,Mean,1030734,1097107,1093891,1093178,1078727.5
E02000192,Camden 027,2017,Mean,1065335,901443,926926,909400,950776
E02000193,Camden 028,2017,Mean,724669,781898,930502,1069169,876559.5
E02000194,Croydon 001,2017,Mean,443119,433652,484175,476318,459316
E02000195,Croydon 002,2017,Mean,520445,524309,504740,498924,512104.5
E02000196,Croydon 003,2017,Mean,425264,432934,451629,441834,437915.25
E02000197,Croydon 004,2017,Mean,446642,424171,414638,399568,421254.75
E02000198,Croydon 005,2017,Mean,313148,318003,320140,326098,319347.25
E02000199,Croydon 006,2017,Mean,337671,350163,360571,372269,355168.5
E02000200,Croydon 007,2017,Mean,343750,340363,342519,345775,343101.75
E02000201,Croydon 008,2017,Mean,300483,306635,305306,308709,305283.25
E02000202,Croydon 009,2017,Mean,343676,353695,363346,369526,357560.75
