ID,E02000001
E02000547,23439.73107
E02000548,25476.00368
E02000549,22616.57214
E02000550,23948.86698
E02000551,22291.87829
E02000552,24837.84138
E02000553,23317.58457
E02000554,6567.304182
E02000555,6587.625027
E02000556,5970.904209
E02000557,6238.08328
E02000558,5380.773208
E02000559,5033.554294
E02000560,5219.561273
E02000561,5524.832841
E02000562,4407.650784
E02000563,4918.408519
E02000564,4470.644138
E02000565,3965.952131
E02000566,3921.288757
E02000567,3428.394564
E02000568,3904.456061
E02000569,3211.105905
E02000570,3139.578678
E02000571,2571.449846
E02000572,2942.316802
E02000573,2325.47667
E02000574,2351.142785
E02000575,1415.81993
E02000576,1091.645709
E02000577,8543.045116
E02000578,8886.278209
E02000579,8824.872356
E02000580,7884.814168
E02000581,8500.906322
E02000582,7446.20663
E02000583,8148.407153
E02000584,7125.8196
E02000585,8137.403416
E02000586,6711.976139
E02000587,7537.959675
E02000588,5302.580863
E02000589,7127.542695
E02000590,5854.566216
E02000591,7838.923857
E02000592,6522.772724
E02000593,7457.659212
E02000594,5632.268848
E02000595,6423.144963
E02000596,7145.754048
E02000597,7264.188501
E02000598,17545.69909
E02000599,15739.91728
E02000600,17115.78401
E02000601,18030.13566
E02000602,18263.71002
E02000603,17618.70056
E02000604,16691.43293
E02000605,17531.00502
E02000606,19220.64938
E02000607,18774.94244
E02000608,20145.62652
E02000609,18154.28384
E02000610,20257.12097
E02000611,19174.0236
E02000612,17952.1369
E02000613,20733.58899
E02000614,20202.01583
E02000615,21754.16039
E02000616,22036.20411
E02000617,24198.56388
E02000619,2835.51428
E02000620,3373.624071
E02000621,4275.225141
E02000622,4049.414356
E02000623,4838.956826
E02000624,4667.940815
E02000625,5458.914228
E02000626,5040.649038
E02000627,5587.45756
E02000628,5548.169878
E02000629,6055.997359
E02000630,6647.467222
E02000631,5716.795587
E02000632,6376.779514
E02000633,6351.482545
E02000634,6802.730145
E02000635,6753.067087
E02000636,7387.358567
E02000637,7173.081875
E02000638,7567.645269
E02000639,7929.045433
E02000640,8286.089825
E02000641,7925.255254
E02000642,8026.293652
E02000643,8715.428025
E02000644,8877.257928
E02000645,9040.216765
E02000646,9347.302949
E02000647,9781.133062
E02000648,9868.92589
E02000649,10210.28259
E02000650,10085.21504
E02000651,10899.6973
E02000652,11547.88507
E02000653,4611.482328
E02000654,5375.723615
E02000655,4920.057066
E02000657,6356.406757
E02000658,5738.251461
E02000659,8009.565086
E02000660,6966.424582
E02000661,8716.07835
E02000662,6704.020139
E02000663,7622.878378
E02000664,8321.172751
E02000665,9357.715847
E02000666,7839.224025
E02000667,7931.004
E02000668,10105.22482
E02000669,9521.172265
E02000670,9392.467402
E02000671,8386.649181
E02000672,9001.415345
E02000673,8208.230145
E02000674,10311.62499
E02000675,11296.40005
E02000676,9074.195141
E02000677,10139.43316
E02000678,11268.58758
E02000679,9546.189778
E02000680,9141.886679
E02000681,10003.0759
E02000682,11008.70437
