MSOA11CD,MSOA11NM,WD20CD,WD20NM,inlondon,ward_area_hectare,green_area_hectare,blue_area_hectare,green+blue_area_hectare,percent_green,percent_blue,percent_green+blue
E02000030,Barnet 007,E05000060,Underhill,TRUE,455.053,295.5301093,0.784267366,296.3143767,64.94410747,0.172346379,65.11645385
E02000096,Brent 004,E05000093,Kenton,TRUE,224.315,103.9804603,0.878394368,104.8588546,46.3546621,0.39158967,46.74625177
E02000144,Bromley 018,E05000126,Shortlands,TRUE,245.665,117.197859,0.378070129,117.5759291,47.7063721,0.153896619,47.86026872
E02000019,Barking and Dagenham 018,E05000033,Goresbrook,TRUE,127.782,54.61238957,0.422257757,55.03464733,42.73871873,0.330451673,43.06917041
E02000046,Barnet 023,E05000061,West Finchley,TRUE,216.344,85.39712171,1.01472748,86.41184919,39.47284034,0.46903426,39.9418746
E02000095,Brent 003,E05000093,Kenton,TRUE,224.315,103.9804603,0.878394368,104.8588546,46.3546621,0.39158967,46.74625177
E02000156,Bromley 030,E05000127,West Wickham,TRUE,441.047,226.4028571,0.976403658,227.3792608,51.33304548,0.221383131,51.55442862
E02000007,Barking and Dagenham 006,E05000034,Heath,TRUE,200.128,99.04152131,1.595326691,100.636848,49.48908764,0.797153167,50.28624081
E02000042,Barnet 019,E05000061,West Finchley,TRUE,216.344,85.39712171,1.01472748,86.41184919,39.47284034,0.46903426,39.9418746
E02000043,Barnet 020,E05000061,West Finchley,TRUE,216.344,85.39712171,1.01472748,86.41184919,39.47284034,0.46903426,39.9418746
E02000059,Barnet 036,E05000062,West Hendon,TRUE,342.865,144.0387439,23.08844508,167.127189,42.01033756,6.733975495,48.74431306
E02000050,Barnet 027,E05000063,Woodhouse,TRUE,262.117,112.0741577,0.203463789,112.2776215,42.75730216,0.077623271,42.83492543
E02000074,Bexley 010,E05011217,Barnehurst,TRUE,213.007,89.63333427,0.01504705,89.64838132,42.07999468,0.007064111,42.08705879
E02000078,Bexley 014,E05011217,Barnehurst,TRUE,213.007,89.63333427,0.01504705,89.64838132,42.07999468,0.007064111,42.08705879
E02000067,Bexley 003,E05011218,Belvedere,TRUE,575.698,215.4549188,86.14913686,301.6040556,37.42498997,14.96429323,52.38928321
E02000079,Bexley 015,E05011219,Bexleyheath,TRUE,362.546,122.5779724,0.080451092,122.6584235,33.81032267,0.022190589,33.83251326
E02000081,Bexley 017,E05011219,Bexleyheath,TRUE,362.546,122.5779724,0.080451092,122.6584235,33.81032267,0.022190589,33.83251326
E02000086,Bexley 022,E05011220,Blackfen & Lamorbey,TRUE,290.792,99.95373844,2.281961664,102.2357001,34.3729327,0.78474018,35.15767288
