MSOA11CD,MSOA11NM,BC_w_MSOA
E02000407,Haringey 011,32380350.55
E02000408,Haringey 012,86167039.09
E02000409,Haringey 013,23663373.92
E02000410,Haringey 014,67333119.17
E02000411,Haringey 015,29423363.64
E02000412,Haringey 016,48301154.59
E02000413,Haringey 017,51130114.25
E02000414,Haringey 018,48660457.43
E02000415,Haringey 019,40746772.82
E02000416,Haringey 020,47342482.33
E02000417,Haringey 021,66858662.99
E02000418,Haringey 022,45276971.97
E02000419,Haringey 023,129413238
E02000420,Haringey 024,46003871.87
E02000421,Haringey 025,101588360.2
E02000422,Haringey 026,48040684.33
E02000423,Haringey 027,67632395.87
E02000424,Haringey 028,16103618.49
E02000425,Haringey 029,81568432.91
E02000426,Haringey 030,66158831.09
E02000427,Haringey 031,41395005.37
E02000428,Haringey 032,49400801.31
E02000429,Haringey 033,14252484.79
E02000430,Haringey 034,19552492.69
E02000431,Haringey 035,48548986.45
E02000432,Haringey 036,10190699.75
E02000433,Harrow 001,15230678.31
E02000434,Harrow 002,12491518.23
E02000435,Harrow 003,6256673.474
E02000436,Harrow 004,6092237.213
E02000437,Harrow 005,8905531.286
E02000438,Harrow 006,10957725.41
E02000439,Harrow 007,23091106.88
E02000440,Harrow 008,14979920.81
E02000441,Harrow 009,13288102.03
E02000442,Harrow 010,10215450.84
E02000443,Harrow 011,8642281.706
E02000444,Harrow 012,38545666.68
E02000445,Harrow 013,30734768.19
E02000447,Harrow 015,15252303.29
E02000448,Harrow 016,14937647.01
E02000449,Harrow 017,28111990.77
E02000451,Harrow 019,30455341.1
E02000452,Harrow 020,20424991.16
E02000453,Harrow 021,9374230.772
E02000454,Harrow 022,20112459.35
E02000455,Harrow 023,13090619.59
E02000456,Harrow 024,18095044.75
E02000457,Harrow 025,21711477.76
E02000459,Harrow 027,35719779.38
E02000460,Harrow 028,7680598.713
E02000461,Harrow 029,59999683.83
E02000462,Harrow 030,30611080.07
E02000463,Harrow 031,9732554.116
E02000464,Havering 001,4710105.546
E02000465,Havering 002,2063272.601
E02000466,Havering 003,6233454.82
E02000467,Havering 004,3541552.311
E02000468,Havering 005,12353258.54
E02000469,Havering 006,9430841.908
E02000470,Havering 007,4220650.731
E02000471,Havering 008,5136483.325
E02000472,Havering 009,6972214.604
E02000473,Havering 010,4783520.329
E02000474,Havering 011,8392636.968
E02000475,Havering 012,15391491.88
E02000476,Havering 013,26203711.93
E02000477,Havering 014,8831877.54
E02000478,Havering 015,2240325.362
E02000479,Havering 016,22346029.47
E02000480,Havering 017,55679267.45
E02000481,Havering 018,1330929.411
E02000482,Havering 019,6087465.938
E02000483,Havering 020,17374477.37
E02000484,Havering 021,17588845.36
E02000485,Havering 022,13571975.94
E02000486,Havering 023,4619768.876
E02000487,Havering 024,1546091.392
E02000488,Havering 025,2935104.482
E02000489,Havering 026,5888764.173
E02000490,Havering 027,7384926.683
E02000491,Havering 028,13615459.33
E02000492,Havering 029,3140041.537
E02000493,Havering 030,3535963.565
E02000494,Hillingdon 001,2473318.559
E02000495,Hillingdon 002,5953774.271
E02000496,Hillingdon 003,2811183.526
E02000497,Hillingdon 004,6510547.039
E02000498,Hillingdon 005,5816937.378
E02000499,Hillingdon 006,10610860.23
E02000500,Hillingdon 007,14102566.6
E02000501,Hillingdon 008,5560602.369
E02000502,Hillingdon 009,13790310.74
E02000503,Hillingdon 010,16911280.34
E02000504,Hillingdon 011,6167392.514
E02000506,Hillingdon 013,8592235.127
E02000507,Hillingdon 014,10334283.34
E02000508,Hillingdon 015,5655951.39
E02000509,Hillingdon 016,2581498.143
E02000510,Hillingdon 017,13142258.95
E02000511,Hillingdon 018,15152949.35
E02000512,Hillingdon 019,13990066.27
E02000513,Hillingdon 020,6220935.561
E02000515,Hillingdon 022,3141993.612
E02000516,Hillingdon 023,11235888.19
E02000517,Hillingdon 024,15375744.9
E02000518,Hillingdon 025,8093563.959
E02000519,Hillingdon 026,29989654.15
E02000520,Hillingdon 027,8426559.487
E02000521,Hillingdon 028,5266970.563
E02000522,Hillingdon 029,4863395.231
E02000523,Hillingdon 030,17989233.2
E02000524,Hillingdon 031,5252944.444
E02000525,Hillingdon 032,6407711.829
E02000526,Hounslow 001,84245353.59
E02000528,Hounslow 003,89420119.04
E02000529,Hounslow 004,13127577.46
E02000530,Hounslow 005,20719448.43
E02000531,Hounslow 006,39897811.87
E02000532,Hounslow 007,13806617.71
E02000533,Hounslow 008,21205508.78
E02000534,Hounslow 009,24749981.9
E02000535,Hounslow 010,15775008.4
E02000536,Hounslow 011,19210350.54
E02000537,Hounslow 012,16480286.08
E02000538,Hounslow 013,15629853.89
E02000539,Hounslow 014,33874836.58
E02000540,Hounslow 015,33229808.62
E02000541,Hounslow 016,22293011.25
E02000542,Hounslow 017,37733037.46
E02000543,Hounslow 018,25754408.22
E02000544,Hounslow 019,6195649.476
E02000545,Hounslow 020,13755200.92
E02000546,Hounslow 021,18381763.03
E02000547,Hounslow 022,13191288.17
E02000548,Hounslow 023,3886959.697
E02000549,Hounslow 024,15464493.34
E02000550,Hounslow 025,1952317.949
E02000551,Hounslow 026,11545954.28
E02000552,Hounslow 027,2615092.457
E02000553,Hounslow 028,7751305.053
E02000554,Islington 001,20142637.77
E02000555,Islington 002,32650909.84
E02000556,Islington 003,23689954.18
E02000557,Islington 004,65386292
E02000558,Islington 005,50948508.77
E02000559,Islington 006,19572095.81
E02000560,Islington 007,98545718.98
E02000561,Islington 008,18234485.43
E02000562,Islington 009,29613154.89
E02000563,Islington 010,37473371.7
