MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,NUMPOINTS
E02000142,Bromley 016,E09000006,Bromley,E12000007,London,"8285","8075","210",46.6000,"3283",2.5000,6
E02000144,Bromley 018,E09000006,Bromley,E12000007,London,"8681","8663","18",43.7000,"3831",2.3000,5
E02000145,Bromley 019,E09000006,Bromley,E12000007,London,"8086","8076","10",7.2000,"3376",2.4000,5
E02000146,Bromley 020,E09000006,Bromley,E12000007,London,"8324","8170","154",46.2000,"3508",2.3000,4
E02000147,Bromley 021,E09000006,Bromley,E12000007,London,"7969","7951","18",35.4000,"3183",2.5000,2
E02000148,Bromley 022,E09000006,Bromley,E12000007,London,"6585","6554","31",23.5000,"2633",2.5000,3
E02000149,Bromley 023,E09000006,Bromley,E12000007,London,"7708","7706","2",41.0000,"3249",2.4000,2
E02000150,Bromley 024,E09000006,Bromley,E12000007,London,"8351","8235","116",27.1000,"3109",2.6000,3
E02000152,Bromley 026,E09000006,Bromley,E12000007,London,"6572","6561","11",25.5000,"2623",2.5000,1
E02000153,Bromley 027,E09000006,Bromley,E12000007,London,"7755","7755","0",34.5000,"2860",2.7000,2
E02000154,Bromley 028,E09000006,Bromley,E12000007,London,"7959","7917","42",38.1000,"3293",2.4000,2
E02000155,Bromley 029,E09000006,Bromley,E12000007,London,"6905","6905","0",38.0000,"3057",2.3000,2
E02000156,Bromley 030,E09000006,Bromley,E12000007,London,"12094","12022","72",31.5000,"4756",2.5000,5
E02000157,Bromley 031,E09000006,Bromley,E12000007,London,"7964","7964","0",32.5000,"3300",2.4000,2
E02000158,Bromley 032,E09000006,Bromley,E12000007,London,"7364","7364","0",34.1000,"2952",2.5000,4
E02000159,Bromley 033,E09000006,Bromley,E12000007,London,"6812","6812","0",11.6000,"2749",2.5000,5
E02000160,Bromley 034,E09000006,Bromley,E12000007,London,"7856","7725","131",9.3000,"2968",2.6000,7
E02000161,Bromley 035,E09000006,Bromley,E12000007,London,"8410","8378","32",48.9000,"3369",2.5000,2
E02000162,Bromley 036,E09000006,Bromley,E12000007,London,"6693","6647","46",5.2000,"2889",2.3000,5
E02000163,Bromley 037,E09000006,Bromley,E12000007,London,"7650","7650","0",6.8000,"3072",2.5000,7
E02000165,Bromley 039,E09000006,Bromley,E12000007,London,"7045","7045","0",12.4000,"2691",2.6000,1
E02000166,Camden 001,E09000007,Camden,E12000007,London,"7924","7916","8",26.2000,"3537",2.2000,3
E02000167,Camden 002,E09000007,Camden,E12000007,London,"7944","7869","75",38.2000,"3629",2.2000,9
E02000168,Camden 003,E09000007,Camden,E12000007,London,"8172","8040","132",120.1000,"3535",2.3000,4
E02000169,Camden 004,E09000007,Camden,E12000007,London,"7637","6981","656",68.0000,"2942",2.4000,8
E02000170,Camden 005,E09000007,Camden,E12000007,London,"8338","8293","45",108.1000,"3685",2.3000,3
E02000171,Camden 006,E09000007,Camden,E12000007,London,"7818","7789","29",149.9000,"3502",2.2000,4
E02000172,Camden 007,E09000007,Camden,E12000007,London,"10147","9919","228",151.7000,"4186",2.4000,5
E02000173,Camden 008,E09000007,Camden,E12000007,London,"7675","7565","110",98.6000,"3569",2.1000,22
E02000174,Camden 009,E09000007,Camden,E12000007,London,"8714","8703","11",159.7000,"3822",2.3000,1
E02000175,Camden 010,E09000007,Camden,E12000007,London,"8848","8846","2",127.9000,"4277",2.1000,0
E02000176,Camden 011,E09000007,Camden,E12000007,London,"6373","6289","84",160.2000,"3261",1.9000,6
E02000177,Camden 012,E09000007,Camden,E12000007,London,"8948","8863","85",170.9000,"3865",2.3000,3
E02000178,Camden 013,E09000007,Camden,E12000007,London,"8857","8823","34",157.7000,"4280",2.1000,2
E02000179,Camden 014,E09000007,Camden,E12000007,London,"6329","6305","24",165.5000,"2870",2.2000,2
E02000180,Camden 015,E09000007,Camden,E12000007,London,"8202","7662","540",169.0000,"3394",2.3000,2
E02000181,Camden 016,E09000007,Camden,E12000007,London,"7708","7703","5",142.5000,"3657",2.1000,3
E02000182,Camden 017,E09000007,Camden,E12000007,London,"6697","6638","59",83.9000,"2963",2.2000,4
E02000183,Camden 018,E09000007,Camden,E12000007,London,"7913","7909","4",102.5000,"3881",2.0000,4
E02000184,Camden 019,E09000007,Camden,E12000007,London,"8882","8726","156",133.6000,"3655",2.4000,4
E02000185,Camden 020,E09000007,Camden,E12000007,London,"8290","8213","77",175.6000,"3938",2.1000,2
E02000186,Camden 021,E09000007,Camden,E12000007,London,"6687","6491","196",66.7000,"3099",2.1000,2
E02000187,Camden 022,E09000007,Camden,E12000007,London,"8155","8064","91",84.2000,"3290",2.5000,7
E02000188,Camden 023,E09000007,Camden,E12000007,London,"8322","7939","383",163.9000,"3170",2.5000,2
E02000189,Camden 024,E09000007,Camden,E12000007,London,"5944","5407","537",199.7000,"2253",2.4000,0
E02000190,Camden 025,E09000007,Camden,E12000007,London,"7530","5914","1616",203.2000,"3181",1.9000,1
E02000191,Camden 026,E09000007,Camden,E12000007,London,"7497","5545","1952",116.8000,"2868",1.9000,0
E02000192,Camden 027,E09000007,Camden,E12000007,London,"7157","7021","136",165.5000,"3375",2.1000,3
E02000193,Camden 028,E09000007,Camden,E12000007,London,"7630","7010","620",70.1000,"3850",1.8000,5
E02000194,Croydon 001,E09000008,Croydon,E12000007,London,"8696","8536","160",62.5000,"4099",2.1000,6
E02000195,Croydon 002,E09000008,Croydon,E12000007,London,"9152","9112","40",47.3000,"3446",2.6000,7
E02000196,Croydon 003,E09000008,Croydon,E12000007,London,"7403","7366","37",60.4000,"2553",2.9000,2
E02000197,Croydon 004,E09000008,Croydon,E12000007,London,"9094","9072","22",91.6000,"3403",2.7000,1
E02000198,Croydon 005,E09000008,Croydon,E12000007,London,"8070","8021","49",90.5000,"3338",2.4000,5
E02000199,Croydon 006,E09000008,Croydon,E12000007,London,"8430","8423","7",97.7000,"3172",2.7000,0
E02000200,Croydon 007,E09000008,Croydon,E12000007,London,"8294","8192","102",66.5000,"3811",2.1000,2
E02000201,Croydon 008,E09000008,Croydon,E12000007,London,"8281","8281","0",96.4000,"3814",2.2000,2
E02000202,Croydon 009,E09000008,Croydon,E12000007,London,"8548","8503","45",116.3000,"2981",2.9000,4
E02000203,Croydon 010,E09000008,Croydon,E12000007,London,"7539","7494","45",97.5000,"3062",2.4000,3
E02000204,Croydon 011,E09000008,Croydon,E12000007,London,"9407","9310","97",86.6000,"3146",3.0000,2
E02000206,Croydon 013,E09000008,Croydon,E12000007,London,"9539","9399","140",65.3000,"4009",2.3000,8
E02000207,Croydon 014,E09000008,Croydon,E12000007,London,"8999","8977","22",72.5000,"3592",2.5000,3
E02000208,Croydon 015,E09000008,Croydon,E12000007,London,"9790","9645","145",111.8000,"3821",2.5000,3
E02000209,Croydon 016,E09000008,Croydon,E12000007,London,"8414","8411","3",83.9000,"2919",2.9000,3
E02000210,Croydon 017,E09000008,Croydon,E12000007,London,"8310","8300","10",107.2000,"3371",2.5000,4
E02000211,Croydon 018,E09000008,Croydon,E12000007,London,"8000","8000","0",47.7000,"3279",2.4000,2
E02000212,Croydon 019,E09000008,Croydon,E12000007,London,"8523","8522","1",68.7000,"2977",2.9000,1
E02000213,Croydon 020,E09000008,Croydon,E12000007,London,"9551","9495","56",92.6000,"4160",2.3000,3
E02000214,Croydon 021,E09000008,Croydon,E12000007,London,"6236","6219","17",60.5000,"2321",2.7000,0
E02000215,Croydon 022,E09000008,Croydon,E12000007,London,"10518","10414","104",106.6000,"4991",2.1000,3
E02000216,Croydon 023,E09000008,Croydon,E12000007,London,"6738","6622","116",30.8000,"3028",2.2000,5
E02000217,Croydon 024,E09000008,Croydon,E12000007,London,"9688","9688","0",67.7000,"4273",2.3000,6
E02000218,Croydon 025,E09000008,Croydon,E12000007,London,"6640","6640","0",58.3000,"2369",2.8000,3
