MSOA Code,MSOA Name,house_mean_price,crime_rate,PM_index
E02000293,Enfield 017,472105,46,79
E02000294,Enfield 018,218088,62,79
E02000295,Enfield 019,349061,35,80
E02000296,Enfield 020,300476,69,81
E02000297,Enfield 021,337675,39,91
E02000298,Enfield 022,458071,45,82
E02000299,Enfield 023,192398,58,84
E02000300,Enfield 024,194118,50,93
E02000301,Enfield 025,177020,68,81
E02000302,Enfield 026,324368,50,88
E02000303,Enfield 027,212693,89,96
E02000304,Enfield 028,505317,47,89
E02000305,Enfield 029,355007,72,93
E02000306,Enfield 030,172836,132,98
E02000307,Enfield 031,245538,53,107
E02000308,Enfield 032,329911,63,108
E02000309,Enfield 033,194679,126,116
E02000310,Enfield 034,175699,94,109
E02000311,Enfield 035,270568,61,106
E02000312,Enfield 036,305781,67,109
E02000313,Greenwich 001,158497,64,82
E02000314,Greenwich 002,173288,70,80
E02000315,Greenwich 003,161879,77,80
E02000316,Greenwich 004,234504,153,99
E02000317,Greenwich 005,192897,62,94
E02000318,Greenwich 006,166416,81,84
E02000319,Greenwich 007,180214,57,89
E02000320,Greenwich 008,194674,53,81
E02000321,Greenwich 009,184682,67,93
E02000322,Greenwich 010,371423,159,114
E02000323,Greenwich 011,185098,87,93
E02000324,Greenwich 012,287202,67,93
E02000325,Greenwich 013,185604,54,82
E02000326,Greenwich 014,320096,48,113
E02000327,Greenwich 015,183793,71,89
E02000328,Greenwich 016,491422,50,105
E02000329,Greenwich 017,191460,40,79
E02000330,Greenwich 018,359055,110,106
E02000331,Greenwich 019,237391,70,99
E02000332,Greenwich 020,244183,45,82
E02000333,Greenwich 021,500377,66,106
E02000334,Greenwich 022,258501,43,91
E02000335,Greenwich 023,255008,33,90
E02000336,Greenwich 024,282600,50,97
E02000337,Greenwich 025,205436,50,114
E02000338,Greenwich 026,373418,81,93
E02000339,Greenwich 027,328952,98,110
E02000340,Greenwich 028,287387,117,84
E02000341,Greenwich 029,221990,68,92
