MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,x,y
E02000097,Brent 005,E09000005,Brent,E12000007,London,8958,8958,0,47.9,2926,3.1,520391.104,187860.628
E02000098,Brent 006,E09000005,Brent,E12000007,London,7944,7917,27,43.2,2652,3,518979.781,187545.857
E02000099,Brent 007,E09000005,Brent,E12000007,London,8707,8651,56,67.6,2782,3.1,517819.020,186969.375
E02000100,Brent 008,E09000005,Brent,E12000007,London,8388,7718,670,40.4,2696,2.9,516664.303,187131.280
E02000101,Brent 009,E09000005,Brent,E12000007,London,9332,9162,170,66.5,3312,2.8,520021.817,186701.085
E02000102,Brent 010,E09000005,Brent,E12000007,London,7787,7783,4,57.3,2496,3.1,521307.994,186729.286
E02000103,Brent 011,E09000005,Brent,E12000007,London,8723,8705,18,49.2,2994,2.9,522480.570,186449.005
E02000104,Brent 012,E09000005,Brent,E12000007,London,6767,6665,102,61.1,2213,3,518491.003,186231.996
E02000105,Brent 013,E09000005,Brent,E12000007,London,9202,9160,42,67.2,2997,3.1,517044.286,185874.198
E02000106,Brent 014,E09000005,Brent,E12000007,London,10217,10208,9,76.2,3449,3,521367.200,185741.601
E02000107,Brent 015,E09000005,Brent,E12000007,London,10692,10625,67,112,4107,2.6,523476.842,185579.708
E02000108,Brent 016,E09000005,Brent,E12000007,London,6584,6565,19,81,2147,3.1,516206.564,185582.787
E02000109,Brent 017,E09000005,Brent,E12000007,London,9864,9693,171,50.8,3264,3,519535.679,185521.985
E02000110,Brent 018,E09000005,Brent,E12000007,London,8087,8083,4,101.2,2969,2.7,522687.717,185288.842
E02000111,Brent 019,E09000005,Brent,E12000007,London,9782,9696,86,86.7,2914,3.3,517632.949,184997.324
E02000112,Brent 020,E09000005,Brent,E12000007,London,9432,9326,106,74.3,2892,3.2,518994.681,184864.256
E02000113,Brent 021,E09000005,Brent,E12000007,London,9655,9655,0,65.1,3306,2.9,520618.907,184950.026
E02000114,Brent 022,E09000005,Brent,E12000007,London,9010,8997,13,146.9,3528,2.6,522920.424,184585.863
E02000115,Brent 023,E09000005,Brent,E12000007,London,8340,8298,42,98.3,3911,2.1,524052.739,184647.699
E02000116,Brent 024,E09000005,Brent,E12000007,London,8153,8146,7,74.4,3072,2.7,522308.415,184323.293
E02000117,Brent 025,E09000005,Brent,E12000007,London,12013,11944,69,135,4557,2.6,521454.766,184324.778
E02000118,Brent 026,E09000005,Brent,E12000007,London,9425,9419,6,76.4,2849,3.3,518748.537,184135.069
E02000119,Brent 027,E09000005,Brent,E12000007,London,7248,7222,26,28.2,2597,2.8,520089.813,183435.282
E02000120,Brent 028,E09000005,Brent,E12000007,London,9214,9204,10,182.1,4277,2.2,524908.404,183896.794
E02000121,Brent 029,E09000005,Brent,E12000007,London,8933,8932,1,64,2623,3.4,517974.719,183750.709
E02000122,Brent 030,E09000005,Brent,E12000007,London,8079,8063,16,67.2,3047,2.6,523507.506,183925.832
